"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-25","6.71",,"0.04","0.0","0.0","44","57","31","  280","  270","19.9","25.9","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-26","5.82",,"0.23","0.0","0.0","36","42","27","   80","   60","18.1","23.9","    1","    1",,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-27","11.86",,"0.05","0.0","0.0","39","51","32","  320","  330","29.1","42.9","    1","    1","    1",,"    1",,"    1",
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-28","17.67",,"0.00","0.0","0.0","40","57","28","  220","  220","38.0","53.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-01","15.43",,"0.00","0.1","0.0","34","40","19","  340","  300","25.9","36.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-02","7.38",,"0.00","0.0","0.0","23","33","14","  260","  270","15.0","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-03","8.72",,"0.00","0.0","0.0","30","38","23","  190","  180","18.1","23.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-04","8.50",,"0.25","0.0","0.0","42","54","34","  100","  320","15.0","21.9","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-05","20.58",,"0.23","0.0","0.0","48","54","32","  220","  240","32.0","42.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-06","15.43",,"0.00","0.0","0.0","33","39","28","  290","  280","28.0","42.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-07","6.04",,"0.04","0.2","0.0","32","40","26","  210","  190","16.1","19.9","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-08","10.29",,"0.00","0.0","0.0","35","44","30","  340","  340","19.9","27.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-09","11.86",,"0.00","0.0","0.0","40","56","32","  270","  270","21.9","29.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-10","11.18",,"0.00","0.0","0.0","46","66","32","  240","  250","21.9","28.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-11","13.65",,"0.00","0.0","0.0","53","69","37","   70","   70","21.9","30.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-12","11.41",,"0.00","0.0","0.0","44","58","31","   80","  100","18.1","23.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-13","9.17",,"0.00","0.0","0.0","43","65","27","   70","   70","16.1","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-14","13.65",,"0.00","0.0","0.0","53","78","36","  180","  180","29.1","38.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-15","21.25",,"0.46","0.0","0.0","64","70","54","  190","  190","38.9","53.0","    1",,"    1",,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-16","13.42",,"0.48","0.0","0.0","48","57","33","  290","  280","25.1","40.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-17","7.38",,"0.00","0.0","0.0","36","49","26","  180","  200","17.0","23.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-18","13.87",,"0.00","0.0","0.0","50","71","38","  180","  200","28.0","38.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-19","16.11",,"0.18","0.0","0.0","61","69","48","  220","  230","31.1","42.1","    1",,"    1",,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-20","14.99",,"0.00","0.0","0.0","44","51","27","  310","  310","25.1","38.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-21","13.65",,"0.00","0.0","0.0","36","54","24","  230","  240","25.9","36.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-22","12.97",,"0.00","0.0","0.0","45","47","30","  290","  290","23.0","30.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-23","13.20",,"0.04","0.0","0.0","35","46","27","  160","  260","31.1","46.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-24","19.69",,"0.00","0.0","0.0","41","50","33","  270","  270","33.1","47.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-25","7.16",,"0.00","0.0","0.0","38","51","25","  280","  270","23.0","30.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-26","6.71"," 1331","0.00","0.0","0.0","38","51","26","  320","  340","18.1","27.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-27","9.62",,"0.00","0.0","0.0","45","60","32","  230","  240","21.0","29.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-28","11.86",,"0.09","0.0","0.0","56","77","46","  230","  230","32.0","42.9","    1",,"    1",,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-29","10.29",,"0.17","0.0","0.0","63","69","54","  210","  220","25.1","33.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-30","14.32",,"0.36","0.0","0.0","61","72","56","  230","  250","29.1","42.9","    1",,"    1",,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-03-31","14.09",,"0.00","0.0","0.0","46","56","32","  270","  270","25.9","35.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-04-01",,,"0.00","0.0","0.0","36","48","26",,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-04-02",,,,,,"38",,,,,,,,,,,,,,
